t,bound,Exp3,Exp3DoublingTrick,SWExp3
1,8.157335921350471,0.48076777528465914,0.44223197930514857,0.0
2,11.536215092807064,0.7795458605717884,0.5394759832422976,0.0
3,14.128920270185695,1.1384532473984281,1.0468389398229572,0.0613148626249469
4,16.314671842700943,1.2415266100438898,0.9966382371912943,0.16438822527040875
5,18.24035763544053,1.3560406487556778,0.7945018938611175,0.1643882252704083
6,19.981310667784744,1.5286139972492316,1.2447413868302557,0.3369615737639622
7,21.58228220870729,1.7824666510114433,1.219699179853316,0.5908142275261739
8,23.072430185614127,1.872809687778024,1.4863258152393093,0.7763641141119484
9,24.472007764051412,2.3737665944103066,1.5864969959688233,0.876535294841462
10,25.79576115057564,2.131492507262837,1.7310964888215716,0.956648678430871
11,27.054822540007578,2.4310723870097286,1.7310964888215716,1.2996946780338847
12,28.25784054037139,2.4310723870097295,1.9361884290440035,1.5047866182563165
13,29.41169293561341,2.598292581814399,2.0756596620267995,1.6350115977914736
14,30.521956206517405,2.4061815381547937,2.0756596620267986,1.6337528774097656
15,31.59322617280991,2.525103290866216,2.3020325794989605,1.9874896081853493
16,32.629343685401885,2.885748087343199,2.5930542277110096,2.1129109103943087
17,33.63355762737315,2.918915257202345,2.8597977019404848,2.122525598928444
18,34.60864527842119,2.830721003341484,2.901979923746577,2.2683953009859454
19,35.557002929680955,2.942304910396583,2.8673538519312363,2.3799792080410445
20,36.48071527088106,2.995783366550821,2.861531058305621,2.6664756221163533
21,37.38160932877087,2.9485924633170733,3.076361572175747,2.6442872004801607
22,38.261296963676024,2.875031370638645,2.9310930483950575,2.768542283957906
23,39.1212087578638,2.875031370638645,3.0805427371095107,2.739759706940937
24,39.96262133556949,2.7037340624332895,3.070933710955577,2.5684623987355817
25,40.78667960675236,2.8041598793497897,3.070933710955577,2.5638612266033682
26,41.594415041897435,2.8041598793497897,2.8155938890713337,2.5418911569463543
27,42.386760810557085,2.8041598793497897,2.655029388140342,2.259557930453827
28,43.16456441741458,2.76958834041824,2.706627849504372,2.224712963752763
29,43.92859832363067,2.769588340418238,3.132008303180397,2.573071376494921
30,44.679568932708406,2.5722908667555533,3.1046705412407825,2.5457336145553064
31,45.41812423852836,2.8395237853346273,3.1154635559968753,2.5937949347892086
32,46.144860371228255,2.8395237853346273,3.1154635559968753,2.874290623214957
33,46.86032722905279,2.87255120269802,3.1877623488831404,2.9073180405783496
34,47.56503334748817,3.003871348192284,3.3570101025108805,3.235051899129953
35,48.2594501282538,3.003871348192284,3.5412967600569765,3.4504472051477038
36,48.944015528102824,2.995579228184642,3.5330046400493345,3.294250036496944
37,49.61913728944635,3.3152820623143775,4.001385865849592,3.677136156745931
38,50.28519578049468,3.4048196217836093,4.090923425318824,3.6586656175493815
39,50.94254650109705,3.8894426312311765,4.460455872513755,3.913536651286204
40,51.59152230115128,3.639986449680787,4.2091066630160405,3.664080469735815
41,52.23243535088082,3.9382676286806806,4.706441369035726,3.848799402699168
42,52.86557889608038,4.2824673186288,4.656730661525103,3.848799402699168
43,53.49122882633614,4.2824673186288,4.656730661525103,4.244856680580984
44,54.109645080015156,4.623505578222286,4.753542509895045,4.305720156197651
45,54.721072906321595,4.915267443340536,5.258222608585871,4.810400254888481
46,55.32574400180008,5.048812220252277,5.332806803284349,5.076152785520044
47,55.92387753622305,5.180597812925388,5.332806803284349,5.588101372112174
48,56.51568108074278,5.180597812925388,5.385210788658263,5.318738940692516
49,57.1013514494533,5.508995225345139,5.882612609869415,5.578068519021667
50,57.68107546403532,5.445247418332407,5.932911927885051,5.409126446380913
51,58.25503064990604,5.6588760276223375,6.145896007039994,5.39838729481885
52,58.82338587122682,6.059920903179307,6.715451191672209,5.398387294818853
53,59.38630191120677,6.526609130587605,7.0411791917825255,5.601761661832391
54,59.943932003354234,6.973951530478729,7.564379986737361,6.129751318962917
55,60.496422318650474,6.952084057529582,7.542512513788214,6.267151585386181
56,61.04391241303481,6.923623179756493,7.7004511632642725,6.417019121272482
57,61.58653563908284,6.869433313193095,7.700451163264276,6.721210238128798
58,62.1244195253185,7.027538544531069,7.700451163264276,7.250924872227703
59,62.65768612621703,7.344767146689804,7.9042719864968305,7.608444808969626
60,63.18645234561982,7.945384323969559,8.39830490034916,8.23269492555454
61,63.71083023598923,7.945384323969556,8.483460569538984,8.454360955534927
62,64.230927275673,7.930035103854735,8.468111349424163,8.717863689372628
63,64.74684662612187,8.123872385539784,8.585897954835673,8.835650294784138
64,65.25868737080377,7.974869523705443,8.409903883002556,8.936066187984231
65,65.76654473738193,7.903659294156114,8.59611006564814,9.122272370629815
66,66.2705103045677,8.047164180719697,8.57113379639582,9.265777257193399
67,66.77067219492078,8.27252356938024,8.771504381446789,9.265777257193399
68,67.2671152547463,8.27252356938024,8.486075474168935,9.014822824311423
69,67.75992122212863,8.749073939355732,8.594383087899956,9.123130438042445
70,68.24916888404454,8.991578982247177,8.809366205319606,9.210961208643766
71,68.73493422341063,9.25951240474027,9.138699802250954,9.596059833660263
72,69.21729055684239,9.25951240474027,9.334307019090382,10.164959480264784
73,69.69630866383166,9.25951240474027,9.318075503050828,10.120178412665602
74,70.17205690798761,9.625999668178437,9.400963655465276,10.321661395909032
75,70.64460135092848,9.738462719511467,9.400963655465276,10.321661395909032
76,71.11400585936191,9.905875294093832,9.56837623004764,10.728760996271696
77,71.58033220584488,10.1233997570355,9.999472688320147,10.942189255125001
78,72.0436401636735,10.22698172253859,10.223768774244675,11.315569643386375
79,72.50398759631517,10.144009871769782,10.201752226579629,11.293553095721329
80,72.96143054176213,10.144009871769782,10.201752226579629,11.494103392811596
81,73.41602329215425,9.933739788225964,10.201752226579629,11.569472806143999
82,73.86781846899154,9.933739788225964,9.955837817606792,11.663229310623755
83,74.31686709423133,10.56721954029711,10.396666907262514,11.663229310623755
