condition,algorithm,t,cum_pnl
stationary,Exp3,1,0.1269060435885428
stationary,Exp3,2,0.2047821883113615
stationary,Exp3,3,0.23775688975294704
stationary,Exp3,4,0.2363105995898744
stationary,Exp3,5,0.4042166462612691
stationary,Exp3,6,0.4152133871010156
stationary,Exp3,7,0.44581899544511083
stationary,Exp3,8,0.49073897120532467
stationary,Exp3,9,0.4317888271320545
stationary,Exp3,10,0.5185038270862681
stationary,Exp3,11,0.5465157043626774
stationary,Exp3,12,0.5888543803090626
stationary,Exp3,13,0.7355084962543607
stationary,Exp3,14,0.8108557618979567
stationary,Exp3,15,0.8558192632829265
stationary,Exp3,16,0.8950484773906193
stationary,Exp3,17,0.9591948080191423
stationary,Exp3,18,0.9878576966604035
stationary,Exp3,19,1.042534733446575
stationary,Exp3,20,1.0329700908351425
stationary,Exp3,21,1.1730050639575245
stationary,Exp3,22,1.2409951802133028
stationary,Exp3,23,1.238420069280917
stationary,Exp3,24,1.2969022718142986
stationary,Exp3,25,1.3737519846906014
stationary,Exp3,26,1.438020109076343
stationary,Exp3,27,1.4435161474469054
stationary,Exp3,28,1.547667641467748
stationary,Exp3,29,1.5430476332199154
stationary,Exp3,30,1.6630438661868807
stationary,Exp3,31,1.7973552735510774
stationary,Exp3,32,1.9235779029725413
stationary,Exp3,33,1.9090375002327737
stationary,Exp3,34,1.9991941799995998
stationary,Exp3,35,2.0104961880059182
stationary,Exp3,36,2.064078661961518
stationary,Exp3,37,2.2022657143638615
stationary,Exp3,38,2.2435354515797234
stationary,Exp3,39,2.29446566376241
stationary,Exp3,40,2.322469874731225
stationary,Exp3,41,2.3531089829219547
stationary,Exp3,42,2.3420757367132325
stationary,Exp3,43,2.3834724928074813
stationary,Exp3,44,2.4574454831128705
stationary,Exp3,45,2.49268110932538
stationary,Exp3,46,2.500392111739322
stationary,Exp3,47,2.6117266118198215
stationary,Exp3,48,2.6939392857766045
stationary,Exp3,49,2.6754099951577746
stationary,Exp3,50,2.699030677696186
stationary,Exp3,51,2.7227292566676207
stationary,Exp3,52,2.647202947223774
stationary,Exp3,53,2.6278086320799745
stationary,Exp3,54,2.7616017643791295
stationary,Exp3,55,2.8064954672036833
stationary,Exp3,56,2.8159097616448747
stationary,Exp3,57,2.9282181096798787
stationary,Exp3,58,3.0456925720092
stationary,Exp3,59,3.1207496933243264
stationary,Exp3,60,3.2959569137684097
stationary,Exp3,61,3.4467281158085656
stationary,Exp3,62,3.4637598154536504
stationary,Exp3,63,3.4813560720987016
stationary,Exp3,64,3.5465601257943318
stationary,Exp3,65,3.621398582272423
stationary,Exp3,66,3.6556858720218126
stationary,Exp3,67,3.687427852230154
stationary,Exp3,68,3.779238034335351
stationary,Exp3,69,3.820812750082449
stationary,Exp3,70,3.9235485294646106
stationary,Exp3,71,3.948248363163157
stationary,Exp3,72,3.9544972539374137
stationary,Exp3,73,3.995575835002672
stationary,Exp3,74,4.008395946829667
stationary,Exp3,75,4.052413566034146
stationary,Exp3,76,4.081233567229893
stationary,Exp3,77,4.102328983523338
stationary,Exp3,78,4.123741701549265
stationary,Exp3,79,4.185335804437887
stationary,Exp3,80,4.2477358388685715
stationary,Exp3,81,4.342367547408638
stationary,Exp3,82,4.40668364140387
stationary,Exp3,83,4.437916845616338
stationary,Exp3,84,4.54003182053954
stationary,Exp3,85,4.640004401495823
stationary,Exp3,86,4.679493974051503
stationary,Exp3,87,4.663726686453651
stationary,Exp3,88,4.726788167884975
stationary,Exp3,89,4.835911287439022
stationary,Exp3,90,4.866755450163957
stationary,Exp3,91,4.909544308313513
stationary,Exp3,92,4.983589076131711
stationary,Exp3,93,5.034966865140335
stationary,Exp3,94,5.061472060967908
stationary,Exp3,95,5.063558107045487
stationary,Exp3,96,5.114838492908377
stationary,Exp3,97,5.1608967706167395
stationary,Exp3,98,5.22724686583365
stationary,Exp3,99,5.28764723301264
stationary,Exp3,100,5.332016001805414
stationary,Exp3,101,5.410895520118856
stationary,Exp3,102,5.514543510001293
stationary,Exp3,103,5.58939437710635
stationary,Exp3,104,5.717680917006327
stationary,Exp3,105,5.833609021085054
stationary,Exp3,106,5.806855510197346
stationary,Exp3,107,5.907147242349084
